Employee_ID,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
58.0,4.0,3,10.0,10.0,10.0,10.0,3.0,3.0,1.0,9.0,3.0,8.0,3.0,8.0,0.0,0.0,2.0,5.0,6.0,10.0,21 to 35,M,739.5
308.0,3.0,5,4.0,0.0,2.0,3.0,0.0,5.0,1.0,8.0,2.0,10.0,0.0,4.0,0.0,0.0,2.0,5.0,1.0,10.0,21 to 35,F,657.5
247.0,0.0,4,0.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,4.0,0.0,10.0,1.0,1.0,0.0,0.0,36 to 50,F,528.8
89.0,5.0,2,3.0,1.0,10.0,10.0,3.0,5.0,1.0,8.0,2.0,5.0,2.0,7.0,1.0,0.0,2.0,5.0,2.0,10.0,21 to 35,F,704.7
118.0,5.0,2,10.0,1.0,4.0,5.0,0.0,5.0,1.0,8.0,2.0,10.0,1.0,8.0,0.0,6.0,2.0,10.0,1.0,6.0,36 to 50,F,694.0
239.0,3.0,3,8.0,10.0,5.0,7.0,3.0,4.0,1.0,8.0,4.0,10.0,5.0,8.0,0.0,1.0,1.0,10.0,3.0,7.0,21 to 35,F,709.3
39.0,0.0,5,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,10.0,6.0,10.0,10.0,1.0,2.0,1.0,10.0,21 to 35,M,538.8
173.0,3.0,4,8.0,7.0,5.0,7.0,8.0,2.0,2.0,7.0,2.0,3.0,4.0,6.0,6.0,5.0,2.0,10.0,0.0,4.0,21 to 35,F,651.4
145.0,5.0,2,10.0,5.0,5.0,10.0,5.0,2.0,1.0,9.0,4.0,2.0,10.0,8.0,0.0,0.0,2.0,7.0,5.0,5.0,21 to 35,F,724.7
169.0,2.0,4,10.0,6.0,4.0,5.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,8.0,0.0,1.0,1.0,10.0,6.0,4.0,36 to 50,F,658.4
17.0,5.0,0,8.0,3.0,10.0,7.0,6.0,3.0,1.0,10.0,4.0,8.0,5.0,8.0,0.0,1.0,2.0,10.0,5.0,10.0,36 to 50,F,749.7
180.0,3.0,4,4.0,7.0,4.0,4.0,10.0,5.0,2.0,6.0,1.0,9.0,8.0,6.0,0.0,9.0,2.0,7.0,1.0,10.0,36 to 50,F,676.4
234.0,5.0,3,8.0,1.0,10.0,10.0,8.0,5.0,1.0,9.0,5.0,10.0,10.0,8.0,2.0,0.0,2.0,8.0,5.0,10.0,21 to 35,F,758.6
250.0,3.0,4,3.0,1.0,4.0,3.0,4.0,0.0,1.0,5.0,0.0,7.0,1.0,6.0,1.0,7.0,2.0,10.0,1.0,10.0,21 to 35,M,640.3
248.0,3.0,2,2.0,3.0,8.0,10.0,2.0,1.0,1.0,8.0,1.0,8.0,8.0,7.0,2.0,2.0,2.0,2.0,1.0,7.0,36 to 50,M,678.1
64.0,2.0,3,10.0,4.0,10.0,10.0,3.0,1.0,2.0,8.0,3.0,4.0,3.0,6.0,0.0,1.0,2.0,10.0,1.0,7.0,36 to 50,M,678.8
34.0,1.0,5,0.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,10.0,10.0,6.0,2.0,3.0,0.0,1.0,36 to 50,F,551.5
59.0,5.0,5,2.0,2.0,10.0,8.0,1.0,0.0,1.0,9.0,2.0,10.0,3.0,6.0,3.0,3.0,1.0,4.0,2.0,1.0,21 to 35,F,639.2
9.0,2.0,3,6.0,3.0,5.0,5.0,5.0,3.0,1.0,5.0,3.0,4.0,4.0,7.0,0.0,1.0,2.0,5.0,4.0,4.0,51 or more,F,670.5
293.0,5.0,4,3.0,10.0,4.0,8.0,6.0,2.0,2.0,4.0,0.0,8.0,5.0,6.0,0.0,5.0,1.0,4.0,2.0,3.0,21 to 35,M,638.8
228.0,3.0,2,2.0,3.0,2.0,3.0,4.0,1.0,1.0,8.0,3.0,10.0,1.0,9.0,8.0,2.0,1.0,4.0,2.0,9.0,21 to 35,M,639.8
297.0,3.0,2,3.0,8.0,8.0,5.0,3.0,5.0,1.0,5.0,1.0,6.0,10.0,7.0,0.0,6.0,2.0,2.0,2.0,7.0,36 to 50,F,687.9
251.0,2.0,3,6.0,10.0,3.0,4.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,7.0,9.0,1.0,2.0,1.0,0.0,2.0,21 to 35,F,593.6
287.0,3.0,4,10.0,8.0,8.0,3.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,8.0,10.0,7.0,1.0,10.0,1.0,3.0,21 to 35,F,626.7
157.0,2.0,2,5.0,1.0,0.0,10.0,10.0,1.0,1.0,7.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,10.0,1.0,7.0,21 to 35,M,658.2
74.0,3.0,2,3.0,6.0,5.0,9.0,6.0,4.0,2.0,5.0,4.0,1.0,5.0,6.0,3.0,2.0,1.0,10.0,2.0,2.0,36 to 50,F,645.9
92.0,2.0,2,3.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,3.0,6.0,2.0,8.0,2.0,0.0,2.0,5.0,5.0,6.0,21 to 35,M,669.4
4.0,1.0,3,2.0,5.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,10.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,21 to 35,F,605.4
117.0,3.0,5,0.0,3.0,2.0,10.0,0.0,0.0,2.0,10.0,1.0,10.0,10.0,6.0,0.0,4.0,1.0,0.0,3.0,10.0,21 to 35,F,627.3
223.0,2.0,1,1.0,0.0,0.0,6.0,2.0,0.0,1.0,5.0,2.0,8.0,2.0,7.0,2.0,3.0,2.0,5.0,4.0,4.0,21 to 35,M,637.3
86.0,1.0,2,6.0,8.0,4.0,5.0,2.0,1.0,1.0,5.0,1.0,9.0,5.0,10.0,0.0,3.0,2.0,1.0,2.0,4.0,21 to 35,F,665.3
249.0,5.0,2,10.0,5.0,6.0,5.0,8.0,3.0,1.0,7.0,3.0,10.0,2.0,9.0,5.0,5.0,2.0,8.0,3.0,10.0,21 to 35,M,714.6
57.0,5.0,2,10.0,4.0,4.0,10.0,4.0,3.0,1.0,9.0,2.0,10.0,1.0,7.0,0.0,3.0,2.0,9.0,1.0,10.0,36 to 50,F,717.6
235.0,5.0,4,10.0,3.0,10.0,10.0,8.0,4.0,1.0,8.0,2.0,10.0,10.0,7.0,0.0,0.0,2.0,10.0,2.0,8.0,36 to 50,M,748.2
141.0,3.0,5,0.0,7.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,9.0,0.0,7.0,0.0,8.0,2.0,6.0,0.0,10.0,36 to 50,F,637.5
19.0,2.0,3,0.0,7.0,2.0,5.0,2.0,3.0,1.0,3.0,2.0,9.0,0.0,4.0,0.0,3.0,1.0,5.0,1.0,7.0,21 to 35,F,628.4
269.0,5.0,4,3.0,7.0,4.0,4.0,3.0,3.0,1.0,2.0,0.0,3.0,0.0,9.0,1.0,5.0,2.0,5.0,3.0,8.0,21 to 35,M,653.7
88.0,2.0,0,0.0,10.0,2.0,5.0,2.0,0.0,1.0,10.0,1.0,1.0,0.0,10.0,0.0,0.0,2.0,1.0,7.0,10.0,36 to 50,F,670.5
252.0,1.0,2,2.0,1.0,3.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,8.0,5.0,0.0,2.0,0.0,0.0,4.0,36 to 50,F,588.5
152.0,2.0,3,9.0,3.0,2.0,8.0,3.0,1.0,1.0,8.0,3.0,6.0,5.0,8.0,0.0,10.0,2.0,10.0,1.0,8.0,36 to 50,F,672.8
14.0,5.0,4,10.0,3.0,3.0,10.0,4.0,4.0,1.0,7.0,2.0,10.0,3.0,6.0,3.0,2.0,2.0,6.0,3.0,5.0,21 to 35,M,695.3
96.0,2.0,3,2.0,5.0,6.0,5.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,6.0,0.0,5.0,1.0,5.0,1.0,1.0,36 to 50,M,591.7
163.0,0.0,4,1.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,0.0,8.0,2.0,1.0,0.0,4.0,21 to 35,F,595.3
9.0,3.0,4,4.0,6.0,10.0,10.0,0.0,3.0,2.0,4.0,1.0,10.0,5.0,7.0,5.0,4.0,2.0,10.0,6.0,5.0,51 or more,F,671.7
258.0,5.0,2,9.0,10.0,8.0,10.0,6.0,3.0,1.0,10.0,5.0,9.0,5.0,9.0,0.0,3.0,2.0,10.0,6.0,5.0,36 to 50,M,753.5
285.0,1.0,2,4.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,8.0,0.0,2.0,1.0,4.0,0.0,1.0,21 to 35,M,576.8
151.0,3.0,4,10.0,5.0,8.0,4.0,3.0,5.0,1.0,5.0,4.0,7.0,0.0,6.0,10.0,2.0,2.0,5.0,2.0,7.0,36 to 50,F,669.2
182.0,2.0,2,2.0,6.0,4.0,4.0,5.0,5.0,1.0,6.0,2.0,4.0,4.0,7.0,0.0,3.0,2.0,8.0,4.0,6.0,36 to 50,F,680.7
44.0,5.0,5,5.0,5.0,10.0,10.0,3.0,4.0,1.0,4.0,5.0,4.0,0.0,9.0,0.0,3.0,2.0,3.0,9.0,5.0,36 to 50,F,694.7
266.0,3.0,4,2.0,2.0,10.0,3.0,1.0,5.0,2.0,3.0,4.0,1.0,0.0,9.0,7.0,0.0,2.0,3.0,0.0,0.0,36 to 50,F,612.5
137.0,5.0,3,10.0,4.0,10.0,2.0,5.0,5.0,1.0,9.0,1.0,4.0,10.0,6.0,0.0,1.0,2.0,7.0,2.0,6.0,36 to 50,F,714.5
289.0,4.0,3,4.0,7.0,4.0,5.0,2.0,0.0,1.0,8.0,2.0,6.0,5.0,7.0,0.0,3.0,2.0,7.0,3.0,5.0,21 to 35,F,672.6
242.0,3.0,3,0.0,2.0,3.0,3.0,0.0,3.0,2.0,8.0,0.0,3.0,0.0,8.0,0.0,3.0,2.0,2.0,0.0,1.0,36 to 50,F,602.5
255.0,3.0,2,2.0,10.0,6.0,6.0,4.0,5.0,2.0,8.0,10.0,2.0,3.0,7.0,4.0,2.0,2.0,10.0,4.0,3.0,51 or more,M,683.7
243.0,1.0,1,5.0,5.0,3.0,7.0,5.0,1.0,1.0,5.0,2.0,5.0,1.0,8.0,0.0,3.0,2.0,10.0,1.0,4.0,21 to 35,M,665.8
124.0,1.0,3,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,10.0,10.0,4.0,1.0,2.0,0.0,10.0,21 to 35,M,558.7
204.0,3.0,2,2.0,3.0,2.0,5.0,4.0,3.0,1.0,6.0,3.0,3.0,0.0,7.0,2.0,4.0,1.0,8.0,4.0,4.0,21 to 35,F,636.3
61.0,3.0,4,5.0,5.0,10.0,6.0,3.0,3.0,1.0,7.0,1.0,10.0,1.0,5.0,7.0,5.0,2.0,0.0,0.0,3.0,21 to 35,F,645.8
157.0,3.0,4,10.0,1.0,4.0,1.0,3.0,1.0,2.0,6.0,2.0,9.0,1.0,6.0,10.0,2.0,1.0,4.0,1.0,2.0,21 to 35,M,594.8
129.0,2.0,3,2.0,10.0,1.0,10.0,7.0,2.0,2.0,10.0,5.0,10.0,4.0,6.0,10.0,1.0,2.0,6.0,5.0,8.0,21 to 35,M,674.9
227.0,5.0,3,8.0,5.0,8.0,10.0,5.0,5.0,2.0,10.0,5.0,10.0,5.0,6.0,0.0,2.0,2.0,4.0,4.0,7.0,51 or more,F,715.7
22.0,3.0,2,10.0,8.0,8.0,8.0,0.0,0.0,1.0,10.0,5.0,10.0,6.0,7.0,0.0,0.0,2.0,7.0,1.0,7.0,36 to 50,F,715.9
9.0,3.0,3,6.0,5.0,8.0,2.0,2.0,0.0,2.0,5.0,2.0,10.0,0.0,7.0,0.0,2.0,2.0,5.0,1.0,3.0,51 or more,F,639.4
24.0,3.0,4,6.0,7.0,6.0,6.0,1.0,5.0,2.0,9.0,1.0,9.0,1.0,5.0,0.0,7.0,2.0,4.0,0.0,0.0,21 to 35,F,642.2
21.0,4.0,2,0.0,2.0,10.0,10.0,0.0,5.0,1.0,7.0,6.0,5.0,0.0,7.0,10.0,2.0,1.0,5.0,8.0,8.0,51 or more,M,665.6
45.0,0.0,4,0.0,4.0,0.0,3.0,2.0,0.0,2.0,5.0,3.0,1.0,1.0,8.0,5.0,1.0,2.0,3.0,5.0,9.0,21 to 35,M,597.0
171.0,5.0,4,8.0,10.0,7.0,3.0,4.0,2.0,1.0,6.0,0.0,8.0,4.0,7.0,5.0,6.0,2.0,10.0,3.0,3.0,21 to 35,F,679.8
235.0,2.0,4,2.0,0.0,9.0,8.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0,9.0,0.0,8.0,1.0,4.0,4.0,10.0,36 to 50,M,628.4
296.0,2.0,4,2.0,10.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,5.0,0.0,5.0,2.0,10.0,0.0,2.0,36 to 50,M,627.0
151.0,4.0,4,8.0,10.0,10.0,7.0,8.0,3.0,2.0,8.0,4.0,10.0,2.0,8.0,0.0,10.0,2.0,7.0,7.0,7.0,36 to 50,F,704.2
281.0,2.0,4,4.0,8.0,4.0,4.0,0.0,0.0,2.0,8.0,3.0,4.0,3.0,6.0,6.0,7.0,2.0,5.0,1.0,8.0,36 to 50,M,615.9
245.0,3.0,1,10.0,3.0,10.0,3.0,3.0,3.0,2.0,7.0,2.0,10.0,1.0,8.0,0.0,1.0,1.0,5.0,5.0,10.0,36 to 50,M,677.0
43.0,3.0,1,10.0,3.0,10.0,3.0,3.0,3.0,2.0,7.0,2.0,10.0,1.0,8.0,0.0,1.0,1.0,5.0,5.0,10.0,36 to 50,M,677.0
161.0,1.0,1,3.0,4.0,10.0,10.0,4.0,3.0,1.0,8.0,7.0,10.0,10.0,6.0,0.0,2.0,2.0,5.0,5.0,10.0,21 to 35,M,727.6
85.0,1.0,1,3.0,4.0,10.0,10.0,4.0,3.0,1.0,8.0,7.0,10.0,10.0,6.0,0.0,2.0,2.0,5.0,5.0,10.0,21 to 35,M,727.6
69.0,3.0,1,5.0,9.0,10.0,10.0,5.0,3.0,1.0,9.0,6.0,2.0,3.0,7.0,0.0,1.0,2.0,10.0,6.0,10.0,21 to 35,F,734.7
295.0,1.0,4,6.0,10.0,6.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,10.0,0.0,1.0,1.0,10.0,1.0,8.0,21 to 35,F,650.5
157.0,5.0,0,10.0,9.0,8.0,6.0,4.0,2.0,1.0,6.0,6.0,8.0,4.0,9.0,1.0,1.0,2.0,10.0,3.0,10.0,21 to 35,M,743.1
8.0,5.0,1,10.0,7.0,7.0,10.0,7.0,0.0,1.0,8.0,10.0,8.0,3.0,6.0,0.0,0.0,2.0,10.0,5.0,10.0,21 to 35,M,749.3
299.0,4.0,2,10.0,10.0,10.0,4.0,6.0,3.0,1.0,5.0,6.0,2.0,3.0,7.0,0.0,1.0,1.0,5.0,5.0,10.0,36 to 50,M,702.4
15.0,2.0,5,2.0,2.0,10.0,10.0,3.0,1.0,2.0,4.0,4.0,5.0,2.0,10.0,10.0,3.0,2.0,10.0,2.0,7.0,36 to 50,M,639.0
156.0,5.0,0,10.0,3.0,10.0,5.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,4.0,0.0,10.0,2.0,2.0,4.0,10.0,51 or more,M,645.4
139.0,4.0,1,8.0,9.0,3.0,4.0,6.0,4.0,1.0,6.0,2.0,4.0,2.0,9.0,0.0,1.0,2.0,6.0,3.0,4.0,21 to 35,F,698.1
297.0,4.0,1,2.0,10.0,7.0,8.0,10.0,4.0,2.0,6.0,8.0,5.0,10.0,7.0,7.0,1.0,2.0,10.0,3.0,10.0,36 to 50,F,720.0
51.0,1.0,4,2.0,4.0,3.0,4.0,3.0,1.0,2.0,6.0,4.0,3.0,5.0,6.0,0.0,0.0,2.0,4.0,1.0,5.0,36 to 50,M,624.2
276.0,3.0,4,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,7.0,3.0,2.0,1.0,2.0,0.0,1.0,21 to 35,M,573.2
169.0,5.0,3,5.0,2.0,3.0,5.0,2.0,1.0,1.0,6.0,1.0,3.0,4.0,7.0,10.0,7.0,2.0,2.0,2.0,5.0,36 to 50,F,624.4
27.0,3.0,1,6.0,5.0,4.0,7.0,4.0,1.0,1.0,5.0,3.0,6.0,3.0,8.0,10.0,2.0,2.0,4.0,5.0,7.0,21 to 35,F,667.7
91.0,4.0,2,1.0,3.0,6.0,3.0,8.0,2.0,2.0,4.0,4.0,6.0,4.0,8.0,0.0,1.0,2.0,4.0,5.0,8.0,21 to 35,M,667.7
22.0,4.0,3,5.0,9.0,4.0,10.0,7.0,3.0,1.0,6.0,4.0,6.0,1.0,6.0,0.0,2.0,2.0,10.0,3.0,7.0,36 to 50,F,706.4
17.0,1.0,3,1.0,3.0,1.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,5.0,4.0,3.0,2.0,4.0,8.0,2.0,36 to 50,F,598.1
199.0,2.0,2,4.0,8.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,7.0,2.0,7.0,10.0,5.0,2.0,5.0,0.0,4.0,21 to 35,M,625.2
65.0,5.0,1,10.0,10.0,10.0,10.0,10.0,5.0,1.0,7.0,5.0,3.0,1.0,7.0,10.0,1.0,2.0,10.0,2.0,5.0,21 to 35,M,728.1
172.0,2.0,3,9.0,3.0,2.0,8.0,3.0,1.0,1.0,8.0,3.0,6.0,5.0,8.0,0.0,10.0,2.0,10.0,1.0,8.0,36 to 50,F,672.8
269.0,4.0,4,7.0,5.0,10.0,10.0,4.0,4.0,2.0,3.0,1.0,6.0,3.0,7.0,10.0,10.0,2.0,3.0,2.0,5.0,21 to 35,M,638.6
36.0,4.0,3,6.0,10.0,7.0,10.0,7.0,3.0,2.0,6.0,6.0,7.0,10.0,8.0,0.0,2.0,2.0,10.0,4.0,10.0,36 to 50,M,729.1
224.0,2.0,5,3.0,5.0,2.0,10.0,4.0,1.0,1.0,5.0,6.0,5.0,0.0,8.0,5.0,1.0,2.0,3.0,3.0,10.0,21 to 35,F,655.6
164.0,2.0,1,4.0,2.0,10.0,2.0,2.0,2.0,2.0,9.0,2.0,5.0,1.0,8.0,0.0,2.0,2.0,5.0,5.0,10.0,36 to 50,F,664.1
220.0,2.0,2,6.0,10.0,10.0,7.0,10.0,2.0,2.0,4.0,4.0,4.0,1.0,6.0,4.0,1.0,2.0,10.0,5.0,7.0,36 to 50,F,687.3
1.0,5.0,1,6.0,5.0,3.0,10.0,5.0,0.0,1.0,10.0,3.0,5.0,10.0,7.0,0.0,2.0,2.0,10.0,2.0,10.0,21 to 35,M,720.0
257.0,3.0,3,5.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,8.0,10.0,7.0,2.0,3.0,1.0,3.0,21 to 35,F,575.7
192.0,5.0,1,8.0,10.0,6.0,10.0,2.0,0.0,1.0,3.0,6.0,5.0,0.0,6.0,5.0,0.0,2.0,5.0,0.0,7.0,51 or more,F,684.1
252.0,5.0,2,10.0,10.0,10.0,10.0,10.0,5.0,1.0,7.0,10.0,5.0,5.0,7.0,8.0,1.0,2.0,10.0,10.0,10.0,36 to 50,F,769.3
132.0,2.0,3,3.0,3.0,3.0,6.0,4.0,1.0,1.0,1.0,2.0,3.0,0.0,6.0,5.0,2.0,2.0,6.0,1.0,3.0,36 to 50,F,620.8
303.0,1.0,5,0.0,4.0,2.0,10.0,2.0,3.0,2.0,3.0,5.0,1.0,0.0,4.0,5.0,2.0,1.0,10.0,8.0,3.0,21 to 35,F,601.3
1.0,4.0,5,5.0,8.0,2.0,7.0,4.0,0.0,1.0,5.0,1.0,2.0,1.0,7.0,5.0,0.0,2.0,3.0,3.0,10.0,21 to 35,M,649.7
262.0,4.0,2,4.0,3.0,10.0,10.0,4.0,0.0,1.0,10.0,0.0,8.0,10.0,7.0,0.0,7.0,2.0,5.0,2.0,10.0,36 to 50,F,700.2
